image,config,psnr,ssim
25_outdoor_hazy.jpg,full,15.695133522486103,0.5678208755240819
26_outdoor_hazy.jpg,coarse,10.800814582857702,0.453508917966908
26_outdoor_hazy.jpg,+sky,10.800814582857702,0.453508917966908
26_outdoor_hazy.jpg,+refinement,10.947607979627698,0.4624367662479975
26_outdoor_hazy.jpg,full,10.947607979627698,0.4624367662479975
27_outdoor_hazy.jpg,coarse,11.635119007409427,0.4361442974234185
27_outdoor_hazy.jpg,+sky,11.635119119499999,0.43614486575955363
27_outdoor_hazy.jpg,+refinement,12.008973830720517,0.4688875771204275
27_outdoor_hazy.jpg,full,12.009080631997426,0.4688976485470577
28_outdoor_hazy.jpg,coarse,14.072979741172642,0.4604106343256569
28_outdoor_hazy.jpg,+sky,14.072979741172642,0.4604106343256569
28_outdoor_hazy.jpg,+refinement,14.501620980354268,0.5067749341753182
28_outdoor_hazy.jpg,full,14.501620980354268,0.5067749341753182
29_outdoor_hazy.jpg,coarse,13.182941128573567,0.4064424930102734
29_outdoor_hazy.jpg,+sky,13.182941128573567,0.4064424930102734
29_outdoor_hazy.jpg,+refinement,13.581850356950095,0.4518198171975871
29_outdoor_hazy.jpg,full,13.581850356950095,0.4518198171975871
30_outdoor_hazy.jpg,coarse,12.677246431918954,0.5008015230524651
30_outdoor_hazy.jpg,+sky,12.677246431918954,0.5008015230524651
30_outdoor_hazy.jpg,+refinement,13.025784194959355,0.5274378070539796
30_outdoor_hazy.jpg,full,13.025784194959355,0.5274378070539796
31_outdoor_hazy.jpg,coarse,14.25343024789491,0.565210294186289
31_outdoor_hazy.jpg,+sky,14.25343024789491,0.565210294186289
31_outdoor_hazy.jpg,+refinement,14.85661925626777,0.6126959284610244
31_outdoor_hazy.jpg,full,14.85661925626777,0.6126959284610244
32_outdoor_hazy.jpg,coarse,12.42245902119774,0.5374906121002755
32_outdoor_hazy.jpg,+sky,12.42245902119774,0.5374906121002755
32_outdoor_hazy.jpg,+refinement,12.706713345953876,0.5842774976990711
32_outdoor_hazy.jpg,full,12.706713345953876,0.5842774976990711
33_outdoor_hazy.jpg,coarse,12.598974186325442,0.5258167478369605
33_outdoor_hazy.jpg,+sky,12.598974186325442,0.5258167478369605
33_outdoor_hazy.jpg,+refinement,12.762079997066838,0.5644872630328556
33_outdoor_hazy.jpg,full,12.762079997066838,0.5644872630328556
34_outdoor_hazy.jpg,coarse,14.22356150690428,0.5659663612889491
34_outdoor_hazy.jpg,+sky,14.224810883687876,0.5657854832503281
34_outdoor_hazy.jpg,+refinement,14.616004443766634,0.5936649118546861
34_outdoor_hazy.jpg,full,14.636767007757062,0.5934438735360575
35_outdoor_hazy.jpg,coarse,18.22789817886507,0.8317648992677933
35_outdoor_hazy.jpg,+sky,18.227915175472933,0.831778521395381
35_outdoor_hazy.jpg,+refinement,18.688180309459597,0.8384625374815431
35_outdoor_hazy.jpg,full,18.69695896169746,0.8391551772792631
